"Source","Target","score"
"AREL1","UNIPOLAR DEPRESSION",0.730144350093947
"METTL9","UNIPOLAR DEPRESSION",0.725833333333333
"IFNAR1","UNIPOLAR DEPRESSION",0.70684375
"IFNAR2","UNIPOLAR DEPRESSION",0.7
"IMPDH1","UNIPOLAR DEPRESSION",0.7
"EP300","UNIPOLAR DEPRESSION",0.691557861179363
"KLHDC8B","UNIPOLAR DEPRESSION",0.69097768342728
"RAB27B","UNIPOLAR DEPRESSION",0.675119886595098
"TLR4","UNIPOLAR DEPRESSION",0.670624207637818
"ELAVL4","UNIPOLAR DEPRESSION",0.654930555555556
"POU5F2","UNIPOLAR DEPRESSION",0.65
"STK24","UNIPOLAR DEPRESSION",0.65
"NRDC","UNIPOLAR DEPRESSION",0.65
"MEIS2","UNIPOLAR DEPRESSION",0.643787712999097
"DCDC1","UNIPOLAR DEPRESSION",0.624044698869251
"DENND1A","UNIPOLAR DEPRESSION",0.615892705134494
"NR4A2","UNIPOLAR DEPRESSION",0.609424728526106
"SLC12A5","UNIPOLAR DEPRESSION",0.608855193337932
"ASTN2","UNIPOLAR DEPRESSION",0.607162372814407
"MIR1281","UNIPOLAR DEPRESSION",0.6
"C3orf84","UNIPOLAR DEPRESSION",0.6
"H1-5","UNIPOLAR DEPRESSION",0.6
"EMILIN3","UNIPOLAR DEPRESSION",0.6
"COP1","UNIPOLAR DEPRESSION",0.6
"SOX5","UNIPOLAR DEPRESSION",0.593784230893402
"PUM3","UNIPOLAR DEPRESSION",0.591557861179363
"CSF3R","UNIPOLAR DEPRESSION",0.584259259259259
"ARFGAP2","UNIPOLAR DEPRESSION",0.580518954197016
"BEND4","UNIPOLAR DEPRESSION",0.578707866493226
"DAGLA","UNIPOLAR DEPRESSION",0.576377966478773
"NR1H3","UNIPOLAR DEPRESSION",0.572946779150042
"BBX","UNIPOLAR DEPRESSION",0.565549925988102
"CNTLN","UNIPOLAR DEPRESSION",0.564158083369467
"NCOA5","UNIPOLAR DEPRESSION",0.563999636888836
"CYP7B1","UNIPOLAR DEPRESSION",0.563333333333333
"LHPP","UNIPOLAR DEPRESSION",0.559402287530349
"HIVEP2","UNIPOLAR DEPRESSION",0.555824750036134
"TYR","UNIPOLAR DEPRESSION",0.551185414128509
"LINGO1","UNIPOLAR DEPRESSION",0.544024481690253
"ERBB4","UNIPOLAR DEPRESSION",0.543738217520608
"TENM2","UNIPOLAR DEPRESSION",0.537742674153402
"RNF103-CHMP3","UNIPOLAR DEPRESSION",0.533044633145439
"SGIP1","UNIPOLAR DEPRESSION",0.530132001741953
"SEMA3A","UNIPOLAR DEPRESSION",0.522099716948508
"OR11A1","UNIPOLAR DEPRESSION",0.52
"XKR6","UNIPOLAR DEPRESSION",0.52
"KLHL29","UNIPOLAR DEPRESSION",0.518000388882486
"EYS","UNIPOLAR DEPRESSION",0.514929089847368
"YLPM1","UNIPOLAR DEPRESSION",0.509166666666667
"AGBL2","UNIPOLAR DEPRESSION",0.507958800173441
