external_gene_id,Module.name,kME.CD1.turquoise,kME.CD2.blue,kME.CD3.brown,kME.CD4.yellow,kME.CD5.green,kME.CD6.red,kME.CD7.black,kME.CD8.pink,kME.CD9.magenta,kME.CD10.purple,kME.CD11.greenyellow,kME.CD12.tan,kME.CD13.salmon
PREPL,CD5,"0,11829949","-0,360277421","-0,145554851","-0,327512036","0,718953748","-0,444899835","0,525630038","-0,428806056","-0,376387974","0,411600792","-0,29695455","-0,202537465","0,637599447"
SLC3A1,CD0,"-0,059550093","-0,109181387","-0,076383944","-0,170932408","0,326932492","-0,094470884","0,204120401","-0,196842989","-0,247694624","0,197056835","-0,059542766","-0,07903968","0,185224011"
EMILIN1,CD6,"0,087921414","0,217802871","-0,068287433","0,231212043","-0,377480021","0,555003625","-0,352136792","0,526849746","0,336934879","-0,184054743","0,153246108","0,325348562","-0,256712217"
FBXO11,CD5,"0,029394944","-0,435799645","-0,060702908","-0,166866901","0,605354726","-0,511498863","0,567641961","-0,465090635","-0,30394164","0,294393389","-0,139033339","-0,201264931","0,463348875"
SIX3,CD2,"-0,110928259","0,4127864","-0,207166007","0,059017486","-0,293305744","0,308938857","-0,325727826","0,185953977","-0,089233348","-0,249543699","-0,003692407","0,114351318","-0,196692758"
ATRAID,CD3,"-0,310725891","-0,295051784","0,597846963","0,406671402","0,022111551","-0,232277589","0,410122166","-0,305686815","0,065721001","-0,040743812","0,345480894","0,109652274","-0,288711051"
CENPO,CD0,"0,181891862","0,116547209","-0,181130527","-0,083829518","0,004778361","0,164193488","-0,116123757","0,215641891","0,058233349","0,109214577","0,05990931","0,07476039","0,079574195"
LRPPRC,CD10,"0,359316908","-0,430402899","-0,030869345","-0,416897601","0,647585563","-0,352208974","0,357023727","-0,212451495","-0,038153746","0,70039624","-0,111125277","-0,213826856","0,610443873"
DTNB,CD1,"0,608236965","0,007330838","-0,304872816","-0,19438634","-0,025392063","0,223008439","-0,348450442","0,493405214","0,409153557","0,31400275","-0,293462782","-0,009130062","0,292292597"
ACTR1A,CD0,"0,537071145","-0,262286683","-0,004486793","-0,253897163","0,332512069","-0,109045153","0,127993719","0,106888445","0,238812844","0,51467669","-0,267716146","-0,138031603","0,510431512"
CYP2C9,CD2,"-0,150009109","0,493676503","-0,086355995","-0,044473543","-0,309585316","0,262892517","-0,319987408","0,113355158","-0,091522452","-0,245492684","0,025996888","0,1007153","-0,24425359"
CYP2C8,CD0,"0,240242786","-0,165463253","-0,154804499","-0,075377776","0,110998545","-0,10950922","0,028056015","0,056477089","0,103729846","0,091926997","-0,203080055","-0,079908802","0,244525389"
MYOF,CD12,"-0,20269214","0,01953993","0,124967316","0,260703612","-0,201215282","0,017034845","-0,003289301","-0,00435074","0,066776258","-0,239535629","0,531068909","0,60887504","-0,285168119"
CH25H,CD0,"-0,12894046","-0,039181828","0,039741052","0,013841477","0,070587688","-0,041686791","0,106306157","-0,095996633","-0,097293698","0,016075279","0,370373918","0,168313158","-0,09380716"
LBX1,CD6,"0,090461647","0,469729124","-0,188562745","-0,044066295","-0,288767573","0,513113141","-0,411329022","0,416357217","0,139839521","-0,122062756","-0,009352164","0,108236769","-0,117716818"
